CLAVE,DESCRIPCIÓN
KITD-011,KIT DE REPARACION VALVULA DE ADMISION P200751.0
KITD-013,KIT DE REPARACION VALVULA P400707
KOLA-001,KOLA LOCA GOTERITO
LAIN-001,"LAINA ACERO 0.05MM ROLLO 150MM X 2.5MTS. 
MOD. MMS05 NO. DE PARTE: 71-202-500"
LAIN-002,"LAINA ACERO 0.10MM ROLLO 150MM X 2.5MTS. 
MOD. MMS10 NO. DE PARTE: 71-202-505"
LAIN-003,"LAINA ACERO 0.15MM ROLLO 150MM X 2.5MTS. 
MOD. MMS15 NO. DE PARTE: 71-202-510"
LAIN-004,"LAINA ACERO 0.20MM ROLLO 150MM X 2.5MTS. 
MOD. MMS20 NO. DE PARTE: 71-202-515"
LAMP-001,LAMP LED A19 14W100-240V6500KE271500LM
LAPI-001,LAPIZ HEXAGONAL #2
LAPI-002,LAPIZ ADHESIVO
LENT-001,GOGGLE CREWS 2310AF STRYKER CL )-D
LENT-002,LENTE DE SEGURIDAD CLARO DERMA STEEL AL0
LENT-006,LENTE DE SEGURIDAD OBSCURO DERMA STEEL A
LENT-007,LENTE DERMA VISITANTE AL048 CL
LIBR-001,LIBRETA PROFESIONAL C 7mm 100 HOJAS
LIJA-002,LIJA DE AGUA T417 GRADO P220
LIJA-004,LIJA DE ESMERIL J-73 GRADO 120
LIJA-006,LIJA DE ESMERIL J-86 GRADO 60
LIMA-007,LIMA DE JOYERO
LIMA-009,"LIMA PLANA MUSA 6"" MCA.SURTEK MOD.120341"
LIMA-010,"LIMA TRIANGULAR 6"""
LIMA-012,"LIMA REDONDA 8"""
LIMA-013,LIMA ROTATIVA DE CARBURO SM-5
LIQU-001,LIQUIDO ENFRIADOR ABRALUB KSV CLAVE:690
LLAV-001,"LLAVE ESPAÑOLA PULIDO ESPEJO 3/4"" X 7/8"" MCA URREA MOD. 3039"
LLAV-002,LLAVE STILLSON HERRERO MALEA 14 MARCA URREA MODL 814UR
LUBR-001,LUBRICANTE AFLOJATODO WD40 8oz
LUBR-002,LUBRICANTE OSOCO HUSILLOS-10
LUMI-001,LUMINARIA STANKA WATERPROOF C/TUBO LED T8 2X17W FRIO
MACHM001,MACHUELO HSS M3 X 0.5
MACHM002,MACHUELO HSS M4 X 0.7
MACHM003,MACHUELO HSS M5 X 0.8
MACHM004,MACHUELO HSS M6 X 1.0
MACHM005,MACHUELO HSS M8 X 1.25
MACHM006,MACHUELO HSS M10 X 1.5
MACHM007,MACHUELO HSS M12 X 1.75
MACHM008,MACHUELO HSS M2 X 0.4
MACHM009,"MACHUELO HSS M5 X 0.80 BARREO CIEGO T830M050X080RGH-D1 
MM5417287"
MACHM010,"MACHUELO HSS M6 X 1.0 BARREO CIEGO T830M060X100RGH-D1 KSP32
MM5417290"
MACHM011,"MACHUELO HSS M8 X 1.25 BARREO CIEGO T830M080X125RGH-D1 
MM5417294"
MACHM012,MACHUELO HSS M20 X 2.5
MACHM013,MACHUELO HSS M2.5 X 0.45
MACHM014,MACHUELOS ISO2 HSSG M3
MACHM015,MACHUELOS ISO2 HSSG M4
MACHM016,MACHUELOS ISO2 HSSG M5
MACHM017,MACHUELOS ISO2 HSSG M6
MACHM018,MACHUELOS ISO2 HSSG M8
MACHM019,MACHUELOS ISO2 HSSG M10
MACHM020,MACHUELOS ISO2 HSSG M12
MACHM021,MACHUELO HSS M16 X 2.0
MACHM022,MACHUELO HSS M14 X 1.25
MACHM023,MACHUELO HSS M18 X 2.5
MACHM024,MACHUELO HSS M18 X 2.5 C/RECUBRIMIENTO DE CARBURO
MACHM025,MACHUELO HSS M30 X 2.0 UNF
MACHM026,MACHUELO HSS M24 X 1.5 UNF
MACHM027,MACHUELO HSS M24 X 2.0 UNF
MACHM028,MACHUELO HSS M24 X 3.0 UNC
MACHM029,MACHUELO HSS M20 X 1.5 UNF
MACHM030,MACHUELO M24 X 1 SKD-11
MACHM031,"MACHUELO HSS 5/16-18 BARRENO CIEGO 
T838NC03125-18RH3-A KSP32
MM 6140683"
MACHM032,"MACHUELO HSS 1/4-20 BARRENO CIEGO
T838NC02500-20RH3-A KSP32
MM 6140637"
MACHM033,MACHUELO HSS M12 X 1.5
MACHM034,MACHUELO HSS # 8 - 32 NC SEMICONICO
MACHM035,MACHUELO HSS M30 X 1.5
MACHM036,"MACHUELO HSS M10 X 1.50 BARREO CIEGO T820M100X150RGH-D1
MM5417245"
MACHM041,MACHUELO HSS M10 X 1.0
MACHS101,MACHUELO HSS 3/16-24 NC
MACHS102,MACHUELO HSS 1/4-20 NC
MACHS103,MACHUELO HSS 5/16-18 NC
MACHS104,MACHUELO HSS 3/8-16 NC
MACHS105,MACHUELO HSS 1/8-27 NPT
MACHS106,MACHUELO HSS 1/2-13 NC
MACHS107,MACHUELO HSS 3/4-10 UNC
MACHS108,MACHUELO HSS 1-8 UNC
MACHS109,MACHUELO HSS 1-12 UNF
MACHS110,MACHUELO HSS 1/4-18 NPT
MACHS111,MACHUELO HSS 1/4-19 BSP
MACHS112,MACHUELO HSS 1/4-28 UNF
MACHS113,MACHUELO HSS 7/16-14 UNC
MACHS114,MACHUELO HSS 3/8-24 UNF
MACHS115,MACHUELO HSS 3/8-24 UNF DERECHO
MACHS116,MACHUELO HSS 5/8-11 UNC
MACHS117,MACHUELO HSS 1/4-19 BSP ROSCA PARALELA P/TUBO
MACHS118,MACHUELO HSS 3/4-14 NPT
MACHS119,MACHUELO HSS 1 - 8 NC
MACHS301,"MACHUELO DE CARBURO 5/16 - 18 , PARA INTERPOLAR"
MAND-001,MANDIL TNM DE CARNAZA ECON
MANE-001,MANERAL P/MACHUELO 1/8-1/2
MANE-002,MANERAL EN T P/MACHUELO 1/16-1/4
MANE-003,MANERAL CON TARRAJA HSS M4 X 0.7
MANE-004,"MANERAL PARA TARRAJA DIAM. 1 1/2"""
MANE-005,"MANERAL PARA TARRAJA DIAM. 1 1/4"""
MANE-006,"MANERAL PARA TARRAJA DIAM. 1"""
MANE-007,MANERAL EN T SURTEK 123904
MANE-301,MANERAL PARA TARRAJA DE 38MM (1 1/2)
MANE-302,"MANERAL PARA TARRAJA DE 50MM (2"")"
MANG-001,MANGA TNM DE CARNAZA P/SOLDADOR ECON
MANG-002,MANGUERA PARA REFRIGERANTE DE 1/4 (084400)
MANG-003,MANGUERA RETRACTIL AZUL
MARR-001,MARRO DE BRONCE 29oz MANGO MADERA MARCA URREA MOD. 1430
MART-001,MARTILLO DE BOLA 24oz URREA MOD. 1324PN
MAZO-001,MAZO CABEZA DE HULE NEGRO 16oz MARCA URREA MOD. 1367
MECH-001,MECHUDO DE PABILO DE 500 GR CON BASTON DE MADERA DE 1.20 CM
MICA-001,MICA BLANCA UNIVERSAL P/CARETA FACIAL
MICA-002,"MICA EXTERIOR PANORAMICA CLARA 4.5"" X 5.25"" 
POLICARBONATO W5 (SKU-1707)"
MICR-001,MICRO ALAMBRE SOLIDO 0.035 CLAVE SKU-880 (15 KG)
MICR-002,MICRO ALAMBRE SOLIDO 0.045 (15 KG)
MICR-003,MICRO ALAMBRE TUBULAR 1/16
MICR-004,"MICRO ALAMBRE SOLIDO 1/16"" GUIA ALAMBRE"
MICR-005,MICRO ALAMBRE SOLIDO 0.045
MOLE-001,MOLETEADOR GRANDE
MOLE-002,MOLETEADOR MEDIANO
MOLE-003,MOLETEADOR CHICO
MOLE-004,MOLETA RECTA DOBLE A TIPO TOSCO
MORD-001,MORDAZA 10N24 EN 3/32 OB SKU: 760
MOTO-301,MOTOTOOL CHICAGO PNEUMATIC CP872
MOUS-001,MOUSE LOGITECH M90 ALaMBRICO USB NEGRO
MULT-001,MULTICONTACTO TIRA DE 6 C/PROTECTOR
MUSC-001,MR. MUSCULO
NIPL-001,"NIPLE GALV C/C C-40 DE 1/2"" X 3"""
NIPL-002,"NIPLE GALV C/C C-40 DE 1/2"" X 1 1/2"""
NIVE-001,NIVEL DE GOTA DE ALUMINIO
OPREM001,OPRESOR M 3 X 8 (PRISIONERO)
OPREM002,OPRESOR M 4 X 16 (PRISIONERO)
OPREM003,OPRESOR M 5 X 6 (PRISIONERO)
OPREM004,OPRESOR M 5 X 8 (PRISIONERO)
OPREM005,OPRESOR M 5 X 12 (PRISIONERO)
OPREM006,OPRESOR M 5 X 16 (PRISIONERO)
OPREM007,OPRESOR M 5 X 35 (PRISIONERO)
OPREM008,OPRESOR M 6 X 8 (PRISIONERO)
OPREM009,OPRESOR M 6 X 10 (PRISIONERO)
OPREM010,OPRESOR M 6 X 12 (PRISIONERO)
OPREM011,OPRESOR M 8 X 12 (PRISIONERO)
OPREM012,OPRESOR M 8 X 45 (PRISIONERO)
OPREM013,OPRESOR M10 X 5 (PRISIONERO)
OPREM014,OPRESOR M10 X 10 (PRISIONERO)
OPREM015,OPRESOR M10 X 12 (PRISIONERO)
OPREM016,OPRESOR M10 X 20 (PRISIONERO)
OPREM017,OPRESOR M10 X 25 (PRISIONERO)
OPREM018,OPRESOR M12 X 35 (PRISIONERO)
OPREM019,OPRESOR M8 X 8 (PRISIONERO)
OPREM020,OPRESOR M8 X 35 (PRISIONERO)
OPREM021,OPRESOR M8 X 25 (PRISIONERO)
OPREM022,OPRESOR M 4 X 6 (PRISIONERO)
OPREM023,OPRESOR M 4 X 4 (PRISIONERO)
OPREM101,OPRESOR INOX. M 5 X 8 (PRISIONERO)
OPREM102,OPRESOR INOX. M 5 X 10 (PRISIONERO)
OPREM103,OPRESOR INOX. M 6 X 10 (PRISIONERO)
OPREM104,OPRESOR INOX. M 6 X 20 (PRISIONERO)
OPRES001,"OPRESOR 1/4 X 1/2"" (PRISIONERO)"
OPRES002,"OPRESOR 5/16 X 1/4"" (PRISIONERO)"
OPRES003,"OPRESOR 3/8 X 3/8"" (PRISIONERO)"
OPRES004,"OPRESOR 3/8 X 1/2"" (PRISIONERO)"
OPRES005,"OPRESOR 5/16 X 1"" (PRISIONERO)"
OPRES006,"OPRESOR 1/8"" NPT (PRISIONERO)"
OREJ-001,OREJERAS MONTABLES PARA CASCO
ORIN-001,ORING 3mm
ORIN-002,ORING 227
ORIN-003,ORING
ORIN-004,ORING EXT. 16.1 ESPESOR DE HILO 1.6
ORIN-005,O-RING DE BUNA 2-322
ORIN-006,O-RING DE VITON 2-322
ORIN-007,O-RING DE VITON 2-325
ORIN-008,O-RING DE VITON 2-323
ORIN-009,O-RING DE VITON 2-324
PALA-001,"PALANCA DE LEVA GN 310-8-63-A-ZB MCA. Elesa 
Ganter"
PALP-001,"PALPADOR 1mm NO. DE PARTE: 626113-0100-020
stylus with thread, M3 XXT, shouldered, tungsten carbide shaft, ruby 
sphere, DG5, DK1,0, L20, ML10,9, MLE5,1, DS1, DSE0,8, weight= 0,69g"
PANE-001,PANEL FILTRANTE P5.3353.0
PANT-001,PANTALON HIGHLINE T/30
PANT-002,PANTALON HIGHLINE T/32
PANT-003,PANTALON HIGHLINE T/34
PANT-004,PANTALON HIGHLINE T/36
PANT-005,PANTALON HIGHLINE T/38
PANT-006,PANTALON HIGHLINE T/30 PARA DAMA
PANT-007,PANTALON HIGHLINE T/32 PARA DAMA
PANT-008,PANTALON HIGHLINE T/29
PAPE-001,PAPEL BOND TAMAÑO CARTA 500 HOJAS
PAPE-002,PAPEL HIGIENICO
PAQU-001,TOALLA INTERDOBLADA GC PAPER CAJA CON 20 PAQ. DE 100 HOJAS
PAST-001,PASTILLA AZUL PARA TANQUE WIESE DE 2 PSTILLAS
PELI-001,PELICULA STRETCH CAL. 60 GRANDE
PELI-002,PELICULA STRETCH CAL. 60 MEDIANO C/MANGO
PERF-002,PERFORADORA DE DOBLE AGUJERO
PERF-003,PERFORADORA DE UN AGUJERO
PERNM001,PERNO ESPIROL RANURADO 5 X 20 (TACO)
PERNM002,PERNO MACIZO 3 X 10
PERNM003,PERNO MACIZO 3 X 20
PERNM004,PERNO MACIZO 3 X 24
PERNM005,PERNO MACIZO 4 X 12
PERNM006,PERNO MACIZO 4 X 16
PERNM007,PERNO MACIZO 4 X 24
PERNM008,PERNO MACIZO 4 X 25
PERNM009,PERNO MACIZO 6 X 20
PERNM010,PERNO MACIZO 6 X 24
PERNM011,PERNO MACIZO 6 X 28
PERNM012,PERNO MACIZO 8 X 20
PERNM013,PERNO MACIZO 8 X 24
PERNM014,PERNO MACIZO 8 X 28
PERNM015,PERNO MACIZO 8 X 40
PERNM016,PERNO MACIZO 10 X 40
PERNM017,PERNO MACIZO 10 X 50
PERNM018,PERNO MACIZO 12 X 40
PERNM019,PERNO DE EXTRACION 12 X 40 EXTRACTOR M8
PERNM020,PERNO MACIZO 12 X 32
PERNM021,PERNO MACIZO 5 X 12
PERNM022,PERNO DE EXTRACCIÓN DE 6 mm x 40 mm
PERNM023,PERNO DE EXTRACCIÓN de 6 mm x 32 mm
PERNM024,PERNO DE EXTRACCIÓN DE 6 mm x 36 mm
PERNM025,PERNO DE SEGURIDAD DIN 11023 M5 X 32 (CLAVE: 00472 5)
PERNM026,PERNO DE SEGURIDAD DIN 11023 M8 X 42 (CLAVE: 00472 8)
PERNM027,PERNO HUECO DE EXPANSIÓN 3 X 20
PERNM028,PERNO HUECO DE EXPANSIÓN 3 X 10
PERNM029,PERNO HUECO DE EXPANSIÓN 8 X 30
PERNM030,PERNO MACIZO 10 X 25
PERNM030,PERNO HUECO DE EXPANSIÓN 8 X 30
PERNM031,PERNO MACIZO 8 X 50
PERNM032,PERNO MACIZO 10 X 20
PERNM033,PERNO MACIZO 10 X 36
PERNM034,PERNO MACIZO 6 X 16
PERNM035,PERNO MACIZO 5 X 20
PERNM037,PERNO MACIZO 10 X 28
PERNM038,PERNO MACIZO 8 X 12
PERNM045,PERNO MACIZO 8 X 16
PERNM046,PERNO MACIZO 6 X 50
PERNM047,PERNO MACIZO 6 X 60
PERNM048,
PERNM049,
PERNS001,"PERNO ESPIROL 1/4 X 3/4"" (TACO)"
PERNS002,"PERNO MACIZO 1/4 X 1/2"""
PERNS003,"PERNO MACIZO 1/4 X 3/4"""
PERNS004,"PERNO MACIZO 1/4 X 1"""
PERNS005,"PERNO MACIZO 1/4 X 1 1/4"""
PERNS006,"PERNO MACIZO 1/4 X 1 1/2"""
PERNS007,"PERNO MACIZO 1/4 X 2"""
PERNS008,"PERNO MACIZO 5/16 X 1"""
PERNS009,"PERNO MACIZO 3/8 X 1/2"""
PERNS010,"PERNO MACIZO 3/8 X 3/4"""
PERNS011,"PERNO MACIZO 3/8 X 1"""
PERNS012,"PERNO MACIZO 3/8 X 1 1/4"""
PERNS013,"PERNO MACIZO 3/16 x 5/8"""
PERNS014,"PERNO MACIZO 3/16 X 1/2"""
PERNS015,"PERNO MACIZO 1/2 X 1 1/2"""
PIED-001,PIEDRA RUBI OXIDO ALUM 1 X 1 X 6 ROSA 29255
PIED-002,PIEDRA P/RECTIFCADO 18B151 SMS
PIED-003,PIEDRA /RECTIFICADO 20B151 SMS
PIED-004,PIEDRA /RECTIFICADO 8B151 SMS
PIED-005,PIEDRA /RECTIFICADO 12B151 SMS
PIED-006,PIEDRA /RECTIFICADO 14B151 SMS
PIED-007,PIEDRA /RECTIFICADO 8B1.1 SMS
PIED-008,PIEDRA /RECTIFICADO 5.0B151 SMS
PIED-009,PIEDRA /RECTIFICADO 132740 - 12B151 SMS
PIED-010,PIEDRA /RECTIFICADO 200412 6B151 SMS 10878
PIED-011,PIEDRA /RECTIFICADO 220184 8B151 SMS 10920
PIED-012,PIEDRA/ RECTIFICADO 4.0B151 SMS
PIED-013,PIEDRA/ RECTIFICADO 2B151 SMS
PIED-014,PIEDRA PARA ELIMINAR MARCA DE MAQUINADO #120 CODIGO: CWA1025-120
PIED-015,PIEDRA PARA ELIMINAR GRANO DE EROSION #180 CODIGO: S0613-180
PIED-016,PIEDRA PARA ELIMINAR GRANO DE EROSION #120 CODIGO: S0613-120
PIED-017,"PIEDRA DE DIAMANTE PARA DRILL DOC 750X 
NO. DE PARTE: 87-145-142"
PIED-018,"PIEDRA P/DESBASTE EN ACEROS ENDURECIDO #120
CODIGI: MR313-120"
PIED-021,"PIEDRA P/ELIMINAR MARCAS DE MAQUINADO #80, 6 ESPESOR X 13 ANCHO X 150mm LARGO
CODIGO: CWA613-80"
PIED-022,"PIEDRAS P/TRABAJOS DE ACERO ENDURECIDO #180, 6 ESPESOR X 6 ANCHO X 150mm LARGO 
CODIGO: DS66-180"
PIED-023,"PIEDRA P/DESBASTE #180, 5 ESPESOR X 13 ANCHO X 150 mm LARGO
CODIGO: GS513-180"
PIED-024,"PIEDRA P/DESBASTE #180, 3 ESPESOR X 13 ANCHO X 150mm largo
CODIGO: BS313-120"
PIED-025,"PIEDRA PARA ELIMINAR MARCA DE MAQUINADO #120, 6 DE ESPESOR X 13 DE ANCHO X 150 DE LARGO CWA613-120"
PIES-001,PIES ANGULARES 160 X 60
PIJAM001,"PIJA 8 X 3/4"""
PIJAM002,"PIJA 8 X 1"""
PIJAM003,"PIJA 8 X 1 1/4"""
PIJAM004,"PIJA 10 X 1"""
PIJAM005,"PIJA 10 X 2"""
PIJAM006,"PIJA K-LATH PUNTA DE BROCA 8 X 1/2"""
PIJAM007,"PIJA K-LATH PUNTA DE BROCA 8 X 1"""
PIJAM008,"PIJA # 12 x 2 "" FIJADORA COMB"
PIJAM009,"PIJA # 14 x 2 "" FIJADORA COMB"
PIJAS001,"PIJA HEX. P/LAMINA GALV. 3/16 X 1/2"""
PIJAS002,"PIJA HEX. P/LAMINA GALV. 7/32 X 3/4"""
PIJAS003,"PIJA HEX. P/LAMINA GALV. 1/4 X 1"""
PIJAS004,"PIJA CAB. PLANA DE 1/4 X 1 1/2"""
PIJAS012,"PIJA CAB. PLANA 1/4 X 1"""
PIJAS013,PIJA HEX. P/LAMINA GALV. 1/4 X 3/4
PILA-002,PILA CIRCULAR SONY A76 LR44 1.5V
PILA-003,PILA CIRCULR SONY CR 2031 3V
PILA-004,PILA LITHIUM 2CR5
PILA-006,PILA AA
PILA-007,PILA AAA
PINS-001,PINS PARA PIZARRON 100 PZA
PINT-001,PINTURA EN AEROSOL VERDE BOTELLA
PINT-002,PINTURA EN AEROSOL ROJO FUEGO
PINT-003,PINTURA EN AEROSOL BLANCO
PINT-004,PINTURA EN AEROSOL NARANJA
PINT-005,PINTURA EN AEROSOL NEGRO
PINT-006,PINTURA EN AEROSOL AMARILLO
PINT-007,PINTURA EN AEROSOL GRIS OBSCURO
PINT-008,PINTURA EN AEROSOL AZUL CIELO
PINT-009,PINTURA EN AEROSOL MORADO
PINT-010,PINTURA EN AEROSOL VERDE FOSFORECENTE
PINT-011,PINTURA EN AEROSOL ROSA MEXICANO
PINT-012,PINTURA EN AEROSOL ROSA CLARO
PINZ-001,PINZA P/SEGURO OMEGA 90°
PINZ-002,PINZA P/SEGURO OMEGA RECTA
PINZ-003,PINZA P/SEGURO OMEGA CURVAS
PINZ-004,"PINZA DE PRESION 7"" USO IND. MCA URREA MOD. 291R"
PINZ-005,"PINZA PUNTA CONICA CORTE LATERAL 6 1/4"" MARCA URREA MOD. 226GS"
PINZ-006,PINZA P/ELECTRICISTA IND MARCA URREA MODELO 2292G
PINZ-007,"PINZA DE PRESION TIPO ""C"""
PIST-001,"PISTOLA DE AIRE CON EXTENSION DE TUBO DE COBRE DE 3/16"" X 30 CM DE LARGO"
PLAC-001,PLACAS DE FIJACION P/ITEM 8mm
PLAC-002,PLACA DE ASIENTO ASV322 D30 (6853221)
PLAC-003,PLACA PARA CONTACTO DUPLEX
PLAC-004,PLACA DE APOYO SM37 KP
PLAC-005,PLACA DE ASIENTO 5322 234 01
PLAC-006,PLACA DE ASIENTO ASD322 550N (6708751)
PLAC-007,PLACA DE APOYO 5322 389 11
PLAC-010,PLAQUITA DE CORTE WNMG060408-VM HB7140-1
PLAC-011,PLAQUITA CORTE CCGW09T308-G BU7220
PLAC-012,PLAQUITA DE TRONZADO ANCHO 2 mm/HB7020
PLAC-013,"PLAQUITA LOEU090408TR-M, HB735
"
PLAC-014,PLACA DE APOYO 5322-474-01
PLAC-020,PLAQUITA REV. RDMW12T3MOT. HB75805
PLAC-038,PLACA DE APOYO IVSN-322 MVJNL1630
PLAC-039,PLACA DE APOYO ICSN-433
PLAY-001,PLAYERA MUJER T/CH
PLAY-002,PLAYERA MUJER T/M
PLAY-003,PLAYERA MUJER T/G
PLAY-004,PLAYERA HOMBRE T/CH
PLAY-005,PLAYERA HOMBRE T/M
PLAY-006,PLAYERA HOMBRE T/G
PLAY-007,PLAYERA HOMBRE T/XG
PLAY-008,PLAYERA HOMBRE CUELLO REDONDO T/G
PLAY-009,PLAYERA AZUL HOMBRE CUELLO SPORT T/CH
PLAY-010,PLAYERA AZUL HOMBRE CUELLO SPORT T/MD
PLAY-011,PLAYERA AZUL HOMBRE CUELLO SPORT T/GD
PLAY-012,PLAYERA AZUL MUJER CUELLO SPORT T/CH
PLAY-013,PLAYERA AZUL MUJER CUELLO SPORT T/MD
PLAY-014,PLAYERA AZUL MUJER CUELLO SPORT T/GD
PLET-001,PLETINA 40 X 80 BARRENO M8 P/ITEM
PLUM-001,PLUMON NEGRO ESTERBROOK PERMANENTE
PLUM-002,PLUMON MARCATEXTOS AMARILLO PUNTO MEDIO
PLUM-003,PLUMON PARA PIZARRON PUNTA REDONDA AZUL
PLUM-004,PLUMON PARA PIZARRON PUNTA BISELADA NEGRO
PLUM-005,PLUMON PARA PIZARRON PUNTA BISELADA ROJO
PLUM-006,PLUMON PARA PIZARRON FINO 4 COLORES
PLUM-007,PLUMON RESALTADOR MARCATEXTOS ROSA PUNTO MEDIO
PLUM-008,PLUMON MARCATEXTOS ROSA PUNTO GRUESO
PLUM-009,PLUMON MARCATEXTOS NARANJA PUNTO GRUESO
POLA-001,POLAINAS SEM CARNAZA CON VELCRO GR =
POLI-001,"POLIFOAM DE 1/8"""
PORT-001,PORTAELECTRODO INFRA 300A MOD. SP500
PORT-002,PORTA MORDAZA 10N32 EN 3/32 SKU: 768
PORT-003,PORTA CANDADO MASTER LOOK 420
POST-004,POSTIT
PRIM-001,PRIMER UNIVERSAL GRIS
PRIM-002,PRIMER UNIVERSAL ROJO
PROL-001,PROL GEL SANITIZANTE DESINFECTANTE PARA MANOSSIN ENJUAGE ELIMINA BACTERIAS Y GERMENES EN MANOS CONCENTRADO AL 65% PRSENTACION DE 1 LT
PROT-001,PROTECTOR FACIAL INFRA C/MTR 3PF500T
PROT-002,PROTECTOR DE HOJAS TRANSPARENTE T/CARTA
PROT-003,"ABSTR.BEWEGL.SCHUTZABD. X
Zeichn.-Nr.: 3809019 (PROTECTOR)"
PROT-004,"ABSTREIF.SCHIEBEBLECH OB.LINKS 
Zeichn.-Nr.: 3809007 (PROTECTOR)"
PROT-005,"ABSTREIF.SCHIEBEBL. UNT.LINKS 
Zeichn.-Nr.: 3809008 (PROTECTOR)"
PROT-006,"ABSTREIF.SCHIEBEBLECH RECHTS 
Zeichn.-Nr.: 3809009 (PROTECTOR)"
PUÑO-001,PUÑO DE ESPONJA CLL129W200 NEGRO
PUNT-001,PUNTA DE INDICADOR DE CARBURO MARCA MITUTOYO 137747
PUNT-002,PUNTA DE CONTACTO P/ELECTRODO ALAMBRE 0.035
PUNT-003,PUNTA DE CONTACTO P/ELECTRODO ALAMBRE 0.030
PUNT-004,PUNTA DE CONTACTO P/ELECTRODO ALAMBRE 0.040
PUNT-005,PUNTA MONTADA A-3 P/INOX CAFE 413
PUNT-006,PUNTA MONTADA A-3 ROSA 392
PUNT-007,PUNTA OXIDO DE ALUMINIO PM B132 10 X 13
PUNT-008,PUNTA DE BROCA DMP180 AH725
PUNT-009,PUNTA PM A24 6 X 20 X 6.4 88A90O6VT9 400
PUNT-010,"PUNTA DE CONTACTO 0.035"" T-M035 MDX250 MILLER
SKU:3063"
PUNT-011,"PUNTA
  DE INDICADOR DE CARBURO MARCA MITUTOYO 103018 (CORTAS)"
PUNT-017,PUNTA DE CONTACTO 0.045”
RECE-001,RECEPTACULO MUNEGRA 4P 4W 30A 277/480V
RECE-002,RECEPTACULO 50A/250V 2F-3H 5709N
RECO-001,RECOGEDOR DE LAMINA CON BASTON DE LAMINA DE 80 CM
RECO-002,RECOPILADOR CON ARGOLLA DE T/C
RECT-001,RECTIFICADOR DE DIAMANTE CONO MORSE 2K
REJI-001,"REJILLA 172M X 150MM(5.9""),P/VENT.#TP-FAN10172BE/20-172BE"
RELE-001,RELEVADOR DE SEGURIDAD MOD. 2981800
REMAS001,"REMACHE POP 5/64"""
REMAS002,"REMACHE POP 1/8"""
REMAS003,"REMACHE POP 3/16"""
RESO-001,RESORTE DE COMP INOX DIAM. HILO 0.5 X DIAM. EXT. 5.55 X LARGO 14.30 H/8 HILOS Y PUNTAS PLANAS
RESO-002,RESOSRTE PARA TROQUEL ROJO 3/4 X 130
RESO-003,RESORTE AZUL CARGA MEDIA D20 005
RESO-004,"RESORTE A2005 GALV. 5.5"" DE LARGO"
RESO-005,RESORTE DE TENSION GALV. S/M
RESO-006,"RESORTE DE TENSION INOX. DIAM. EXT. 30.5 mm x 133 mm DE LONG. 8 REVOLUCIONES, DIAM. DEL HILO 3mm CON PUNTAS PLANAS"
RESO-007,RESORTE PARA BROCAL SMI MOD. BAL1003T01
RESO-008,RESORTE DE COMPRESIÓN De 6mm L 14mm C 06mm 7 E+T ACP
RESO-009,RESORTE DE COMPRESION Material : acero inoxidable Longitud : 35mm Diámetro de hilo : 0.7mm Diámetro interior : 9mm Numero de vueltas : 12 vueltas Puntas planas
RESO-010,RESORTE DE COMPRESION Material: acero piano LONG. 49 MM DIAM. EXT. 15 MM DIAM. DEL HILO 1.6 MM NO. DE VUELTAS 10 PUNTAS PLANAS
RESO-011,RESORTE DE COMPRESIÓN INOXIDABLE De 15.5mm Di 12.5mm C 1.5mm L 16mm V 4 Esm. Esc .
RESO-012,RESORTE DE ACERO PIANO DE DIAM. INT. 55 MM X DIAM. DEL HILO 7/16 X 50 MM DE LARGO 3 VUELTAS Y PUNTAS PLANAS
RESO-013,RESORTE DE COMPRESION EXT. 8.5MM. DI DE HILO 1MM. LONG 35MM PASO 3MM PUNTAS PLANAS
RESO-018,"RESORTE
  DE COMPRESION ACERO TEMPLADO DIAM. EXT. 56.3MM, DIMA. HILO 6.35MM LARGO
  250MM, 14 VUELTAS, PUNTAS PLANAS"
RESP-001,RESPIRADOR 3M 8210 P/PARTICULAS
RESP-002,"RESPALDO P/DISCO AUTO ADHERIBLE 125 X 15.9 MM 11H
CLAVE: 1457"
RESP-003,"RESPIRADOR 3M 8511 P/PARTICULAS C/VALV "
RETE-003,RETEN 35 47 7
RETE-004,RETEN 58 80 10
RETE-010,RETEN 60 100 10
RIMA-024,RIMA DE COBALTO DE 6mm
RIMAM001,RIMA HSS 3mm
RIMAM002,RIMA HSS 4mm
RIMAM003,RIMA HSS 5mm
RIMAM004,RIMA HSS 6mm
RIMAM005,RIMA HSS 8mm
RIMAM006,RIMA HSS 10mm
RIMAM007,RIMA HSS 12mm
RIMAM008,RIMA HSS 14mm
RIMAM009,RIMA HSS 16mm
RIMAM010,RIMA HSS 20mm
RIMAM011,RIMA DE CARBURO DE 6mm
RIMAM012,RIMA DE CARBURO DE 8mm
RIMAM013,RIMA HSS 9mm
RIMAM014,RIMA 8MM LARGO TOTAL 80MM C/RECUB. TIALN
RIMAM015,RIMA HSS 2.5mm
RIMAM016,RIMA HSS 13mm
RIMAM017,RIMA HSS 15mm
RIMAM018,RIMA HSS 9.9mm
RIMAM019,RIMA DE CARBURO DE 7mm
RIMAM020,RIMA HSS 17mm
RIMAS101,"RIMA HSS 1/4"""
RIMAS102,"RIMA HSS 1/2"""
RIMAS103,"RIMA HSS 5/16"""
RIMAS104,"RIMA HSS 7/16"""
RIMAS105,"RIMA HSS 3/4"""
