CLAVE,DESCRIPCIÓN
BURI-014,BURIL IZQUIERDO PASTILLA DE CARBURO SOLD. 1/2
BURI-015,BURIL IZQUIERDO PASTILLA DE CARBURO SOLD. 5/8
BURI-016,BURIL DE PUNTA PASTILLA DE CARBURO SOLD. 5/8
BURI-017,BURIL DE PUNTA PASTILLA DE CARBURO SOLD. 3/4
BURI-018,"BURIL DE COBALTO 1/4"" X1/4""X 3"""
CABE-001,CABEZA DE BROCA HYDRA 13 MM DORMER
CABE-002,CABEZAL AM UNIVERSAL 2 BROCHES DERMA CARE
CABL-001,CABLE USO RUDO DE 4 POLOS CALIBRE 14
CABL-002,"CABLE UTP CAT5E BELDEN 5663U5 008U1000 GRIS 24AWG
ESPECIAL PARA SEGURIDAD 1000FT 305 MTO"
CABL-003,CABLE USO RUDO DE 3 POLOS CALIBRE 16
CABL-004,CABLE USO RUDO DE 4 POLOS CALIBRE 12
CABL-005,CABLE CALI.1/0 CON FORRO
CABL-006,CABLE DE COBRE DESNUDO CAL.1/0
CABL-007,CABLE USO RUDO 3 HILOS CAL. 10
CAJA-001,CAJA DE CARTON CORRUGADO SENCILLO DE 30 X 15 X 20
CALI-001,"CALIBRADOR DIGIMATIC 6""/150 MM"
CALI-002,CALIBRADOR DIGIMATIC
CALI-003,"CALIBRADOR DIGIMATIC 8""/200 MM"
CALI-004,"MICROMETRRO DIGIMATIC 0-1""/0-25 MM"
CAMI-001,CAMISA DE MEZCLILLA T/40
CAMI-002,CAMISA DE MEZCLILLA T/42
CAMI-003,CAMISA AZUL T/40
CANC-001,CANCAMO DIN 580-M8-ST MCA. Elesa Ganter
CAND-001,CANDADO PHILIPS MOD 114
CAND-002,CANDADO PHILIPS MOD 112
CAND-003,CANDADO MASTER LOOK BLOQUEO 406
CAND-004,CANDADO MASTER LOOK BLOQUEO 410
CAND-007,CANDADO PHILIPS MOD 116
CARB-001,CARBON PARA PULIDORA BOSCH MOD- GWS 15-125 CIE
CARD-001,CARDA CIRCILAR #123249 MARCA SURTEK
CARE-001,CARETA FIBRA DE VIDRIO 2SC-200M INFRA
CARE-002,CARETA FACIAL PROTECTORA
CARE-003,CARETA INFRA ELECTRONICA 2SC702-NEGRA
CARE-004,CARETA INFRA CONCHA FV C/MTR 2SC200M
CART-001,"CARTUCHO CASIO XR-9YW1 (9"")"
CART-002,CARTUCHO EPSON 664 AZUL
CART-003,CARTUCHO EPSON 664 MAGENTA
CART-004,CARTUCHO EPSON 664 NEGRO
CART-005,CARTUCHO LEXMARK T650H80G
CART-006,CARTUCHO BROTHER LC3019 NEGRO
CART-007,CARTUCHO BROTHER LC3019 MAGNETA
CART-008,CARTUCHO BROTHER LC3019 YELLOW
CART-009,CARTUCHO BROTHER LC3019 CIA
CASC-001,CASCO DE SEGURIDAD 3M C/SUSP. MATRACA H701R BC D
